Sigma,Lambda,Eta,Thickness,Spacing
50,0.19,3,5.638986106,12.23013189
50,0.2,3,5.309128675,12.07015937
50,0.21,3,5.13170319,11.68621261
50,0.22,3,4.936130972,11.49320603
50,0.23,3,4.786725008,10.93944988
50,0.24,3,4.599718058,10.54064511
50,0.25,3,4.51141827,10.18574817
50,0.26,3,4.37973197,9.988895404
50,0.27,3,4.236924516,9.543124546
50,0.28,3,4.10652358,9.480369714
50,0.29,3,4.002147606,9.341316075
50,0.3,3,3.920072223,8.981316507
50,0.01,15,7.832389084,33.11260297
50,0.02,15,7.367382479,31.36909964
50,0.03,15,7.080969343,30.35742396
50,0.04,15,6.725257139,30.71486384
50,0.05,15,6.563881822,30.8364147
50,0.06,15,6.14208613,31.05940894
50,0.07,15,5.818809321,28.51460712
50,0.08,15,5.613939855,27.1100467
50,0.09,15,5.260825835,26.26579602
50,0.1,15,4.849034,26.18509733
50,0.11,15,4.66980117,25.1737048
50,0.12,15,4.449861928,25.17100021
50,0.13,15,4.267096005,23.45240625
50,0.14,15,4.033238831,24.25950316
50,0.15,15,3.823312998,24.12116072
50,0.16,15,3.712939923,23.71875414
50,0.17,15,3.611774086,24.32751417
50,0.18,15,3.522241763,24.47258031
50,0.19,15,3.425458043,24.60995397
50,0.2,15,3.300022631,25.63602228
50,0.21,15,3.242620896,26.75184346
50,0.22,15,3.151955193,27.92257955
50,0.23,15,3.108903567,29.02615792
50,0.24,15,3.079680066,32.24277794
50,0.25,15,3.068021665,33.17652654
50,0.26,15,3.124956908,35.91566845
50,0.27,15,3.062464213,43.22105306
50,0.28,15,3.038492352,43.23840699
50,0.29,15,2.991470777,49.98176954
50,0.3,15,2.931951267,51.92964712
50,0.1,1,13.29292377,13.16684235
50,0.1,2,10.24648154,15.93558419
50,0.1,3,9.020489509,18.37818955
50,0.1,4,7.638788282,19.05097132
50,0.1,5,7.138848258,20.27852286
50,0.1,6,6.647529764,21.44929331
50,0.1,7,6.639908817,21.30502147
50,0.1,8,5.982383176,22.43051981
50,0.1,9,5.789239211,22.88925397
50,0.1,10,5.462081803,23.42335422
50,0.1,11,5.292058829,24.70520044
50,0.1,12,5.388900592,24.10842272
50,0.1,13,5.047852426,25.36825119
50,0.1,14,4.791429772,24.95696399
50,0.1,15,4.906759564,24.71166229
50,0.1,16,4.74885859,26.70625342
50,0.1,17,4.75175825,27.452603
50,0.1,18,4.666974596,27.98598824
50,0.1,19,4.414210178,26.41872623
50,0.1,20,4.39566367,27.92451514
30,0.2,1,8.528741145,8.549961312
30,0.2,2,6.361541161,10.84065279
30,0.2,3,5.329616012,12.10532545
30,0.2,4,4.71272238,12.95007758
30,0.2,5,4.406194744,13.78620534
